spacefarer_ID,stardust_ID
0f1a2b3c-4d5e-4f60-8a71-1234567890ab,aa11aa11-1111-4a11-8111-aaaaaaaaaaaa
0f1a2b3c-4d5e-4f60-8a71-1234567890ab,bb22bb22-2222-4b22-8222-bbbbbbbbbbbb
1a2b3c4d-5e6f-4701-9b82-2345678901bc,bb22bb22-2222-4b22-8222-bbbbbbbbbbbb
1a2b3c4d-5e6f-4701-9b82-2345678901bc,cc33cc33-3333-4c33-8333-cccccccccccc
2b3c4d5e-6f70-4812-ac93-3456789012cd,cc33cc33-3333-4c33-8333-cccccccccccc
2b3c4d5e-6f70-4812-ac93-3456789012cd,dd44dd44-4444-4d44-8444-dddddddddddd
3c4d5e6f-7081-4923-bda4-4567890123de,dd44dd44-4444-4d44-8444-dddddddddddd
3c4d5e6f-7081-4923-bda4-4567890123de,ee55ee55-5555-4e55-8555-eeeeeeeeeeee
4d5e6f70-8192-4a34-8eb5-5678901234ef,ee55ee55-5555-4e55-8555-eeeeeeeeeeee
4d5e6f70-8192-4a34-8eb5-5678901234ef,ff66ff66-6666-4f66-8666-ffffffffffff
